movieId,tagenc
11,16045 16045 8386 8700 12711 10758 15904 563 724 11973 12888 12923 12938 5454 14806 2409 7061 11229 16987 2022 16900 5727 6935 311 10758 11229 12711 12923 5288 5454 15904 6935 7061 15904 17320 8386 15904 16045 311 5454 15904 1428 311 1145 16974 7061 
12,5391 5391 12843 18788 4942 5391 17602 904 17602 
13,7578 11610 2534 19208 
14,9996 8386 6046 15894 9821 9985 6046 15904 6046 16045 738 2409 9821 10688 9985 15599 11048 15904 18520 8386 15904 16045 1428 8346 
15,15783 18486 8957 9025 2917 3080 13358 6505 15783 17983 18486 18487 18486 15783 17164 18486 15783 9965 18486 18486 18486 1428 6505 15783 6505 15783 18486 
16,4295 5286 6955 7509 10488 18904 4853 15502 5286 9810 14333 5286 9810 10411 11048 12582 3306 12923 14333 5286 5991 5992 15502 6955 18899 18904 10364 6956 12584 14333 6955 5154 5286 3306 12923 4295 14205 6955 7509 6955 4295 4853 5286 6955 7509 14333 5286 13811 15032 5991 5992 5286 14453 18904 5286 6955 5286 14333 14989 5286 10920 12584 12923 13459 14036 14333 5286 14989 15196 15502 6955 13547 17373 17828 12582 12584 14735 15502 18904 14333 15196 5727 5286 10688 14036 5286 14735 11048 14333 17512 18899 12584 13459 14036 14333 5286 14989 6955 7509 10411 5286 14989 6955 18904 11048 12923 14333 15352 2330 2663 9810 12584 13459 4853 5154 15354 5286 6955 5286 14333 5286 15442 5154 5286 14333 5286 14989 6955 6956 7509 18904 19007 9810 18904 9810 10364 11048 13459 5992 16648 16888 10920 14333 5286 14989 16648 11966 11199 14333 16648 16888 11199 13459 14333 14735 14989 6955 10411 1428 2201 12582 8490 11943 4295 14036 14333 5286 6955 10411 14533 1145 14333 15502 8344 5286 
17,8989 9553 9810 1325 13107 3668 4023 15718 16685 439 1325 11053 103 4023 16685 18491 9810 4023 126 439 674 1325 11053 2606 13195 4023 6373 1325 7486 2606 4023 674 439 1325 4023 2621 7061 4023 911 10564 6373 6792 9810 1325 10721 4023 8989 439 674 9553 1325 2606 3668 4619 439 1325 10564 3668 4619 1325 4023 4023 439 2606 3668 4619 10564 4023 6373 16689 4023 126 439 9810 1325 10564 11053 3668 4023 4619 16685 16689 439 10564 10721 3668 4023 4619 6373 674 4023 3304 3310 126 8989 674 1325 11053 4023 439 126 439 9810 1325 11053 4023 6373 6792 16689 126 9810 10564 11053 3310 13107 13195 14162 15719 16689 4023 9810 4023 2606 4619 18519 4023 4023 9810 1325 3668 4023 16689 7486 2606 3668 439 2606 3668 7906 10210 16979 13333 9810 10738 12221 16689 10564 13329 16685 17189 8989 9810 16685 16689 7486 10132 15327 1428 1325 9625 13195 14162 5805 1145 
18,6617 14892 767 1362 12224 14892 6617 6990 7978 8159 14892 6617 6990 8159 7978 1362 11282 14892 6617 8159 14892 6617 538 7037 7978 7978 767 5148 14892 6617 5994 5994 6617 6990 19193 1856 11282 4148 14892 6617 7978 8159 19196 12224 14891 7037 767 1362 13320 6617 6990 8159 164 14892 6617 767 6617 8159 767 11282 13320 5148 6617 7240 8159 15599 7978 13320 14892 15357 11282 6617 8159 6617 6990 14892 8159 10860 13320 14892 7978 8346 
19,10599 4234 7574 7789 10860 4234 16085 11425 11425 4234 3359 17597 11425 6843 4234 7789 11425 10860 380 4234 4234 11425 4234 4234 4234 10860 11425 11425 6070 15555 7848 11425 11113 4234 15555 13174 4234 11425 12823 10860 4234 5968 11425 4234 7789 4234 6843 7848 380 10860 4234 11425 10860 4234 380 4234 4234 5968 11425 11425 11425 11425 7848 11113 380 10599 10860 11113 3359 13124 4234 5968 6070 15555 6843 7574 17597 7789 7848 10860 4234 4234 11425 13124 11425 7848 4234 17290 4234 17290 17290 18824 4234 5968 6070 7848 11425 10860 4234 15555 4234 4234 10860 13174 4234 17032 4234 
20,5992 4490 9049 1428 14012 
21,14333 16808 9534 12426 3165 4417 12554 3089 13236 4417 14333 16806 16808 10987 12443 12541 17285 1947 14735 3089 9534 3620 5727 12443 971 4417 12443 3620 9810 2574 14843 3620 19007 18483 2079 3089 4417 14333 1947 3620 14843 8392 1428 3089 16808 17285 
22,11425 14963 17047 17952 18229 11425 11425 17954 18229 18229 11425 17954 11425 9060 12281 17047 7567 18474 18229 18229 18229 16974 11425 18229 18229 18229 18229 18229 11425 17954 18229 11425 18229 18229 18229 17954 11425 17954 11425 17954 11425 17047 17954 18229 18229 11425 17954 11425 17954 11427 17779 18229 18229 17047 17954 10751 17047 11425 11425 17954 11425 17954 17047 17047 11425 17954 18229 11425 17954 18229 18229 18229 11425 17954 18229 11425 18229 11425 17047 18229 18229 17047 
23,767 7920 8607 7920 129 6864 2330 9049 7920 1428 
24,9087 17564 11771 11833 15866 16438 18054 9087 17564 6553 15542 16050 9087 11833 17564 9087 10992 1463 16438 13506 16050 8520 15866 
25,8989 11395 16383 14527 11395 5994 7208 9007 9469 12252 14527 9007 9093 9469 9810 11279 11395 11663 13668 14195 14257 14528 5868 15866 16127 7215 18627 15592 290 9469 11833 13668 14528 15866 6233 7208 7215 18627 14195 14527 11279 9007 12053 15118 9007 17883 14527 8989 9007 9093 9469 9810 11279 11395 11685 2553 13668 14195 14257 5868 5994 16127 7215 18627 458 2553 5868 13081 5994 6090 9469 5994 6233 11709 14527 5868 5868 14527 5868 5727 5551 9469 9810 11279 2553 5868 9810 11395 11663 5868 5994 6090 16127 14527 9469 12053 13668 18627 14527 9093 11395 16127 7215 14527 9093 14527 11685 15357 16127 14527 9093 11279 11395 5868 7215 14527 14527 5868 9093 6090 9469 1145 11663 12936 14257 15602 5868 15563 9093 11842 5868 14527 9093 11395 14257 6090 7215 14527 9093 11395 2025 9810 9469 11663 12936 5868 6090 18627 9093 11395 11663 5868 723 14111 1145 5868 6090 
26,8996 15825 2534 7486 17189 5994 5994 7486 6043 7486 7486 9818 7486 7486 7486 1428 9818 7486 7489 
27,8888 1029 1286 1716 2233 12502 3022 4030 5396 6918 7106 17329 17497 17512 8133 19215 
28,103 8989 9553 17073 103 4023 4023 2861 4023 9553 4023 126 8989 555 9553 1748 2620 2861 7045 4023 4023 7045 4023 4023 8980 4023 9810 4023 3763 4023 13731 11966 9553 4023 8954 9810 10043 10132 10738 17373 1428 16589 14114 4023 555 
29,10608 7289 11763 8937 17937 17937 10048 11279 18928 11763 11763 17937 9469 10048 11678 12189 13040 17830 19121 19072 4220 12189 11279 9865 9469 11285 11763 17691 17937 18928 19121 19072 11763 11279 7289 11362 7289 19072 19072 11279 11285 11763 7083 17691 17937 19121 9469 11763 17937 15032 9469 11678 11763 17691 17937 11279 7083 19072 11279 18932 9469 9865 10048 10608 7289 17937 18928 19121 11279 11279 11279 17753 10608 11285 11763 4116 17691 17830 17937 18928 19121 11279 11279 9469 1721 11285 11678 11763 17691 17937 18928 19121 11279 9865 2096 11763 9469 9865 10048 10608 11284 11285 11678 11763 13925 7083 7289 16862 17691 17937 18928 11279 9469 11279 10608 11279 11763 14496 17937 19072 9469 17937 11284 11279 129 11279 19072 4116 5199 19072 11678 7083 17691 17937 18928 19121 9469 11285 11763 17937 17691 11763 17937 17346 11279 11279 11279 4907 17937 19072 9469 11285 17937 18928 15440 13925 11285 17937 11279 9469 2096 17691 17937 18928 19072 9469 11763 17937 18928 11279 11279 18932 11279 9469 10608 11763 13040 17691 19072 11279 17937 9469 11763 16862 17937 11763 10253 9469 9865 11285 11763 17691 18928 19072 11279 17753 18923 10048 10608 13925 17691 17937 19072 9469 9665 10048 11285 11678 13040 5994 17691 17830 18928 11943 19072 19072 11678 11763 13040 19072 19121 9469 9865 11285 2358 4116 17937 18928 19121 10799 14533 9469 11285 11763 17937 11279 19072 
30,3239 8831 8867 
31,18041 13162 16138 13600 13600 3577 5524 13600 13600 13600 12584 13162 13600 13600 13600 13600 18041 13600 13600 13600 13600 4399 13600 13600 15599 9810 11804 12936 13162 16855 18039 11804 5524 17450 9049 13162 18039 16983 13600 13600 11943 1145 13600 13600 9810 13600 17450 
32,15973 16197 18251 1265 1362 9469 15973 18251 18556 15009 15837 15973 16522 18251 6553 18251 9025 1265 1362 10925 11763 12557 15973 16862 18251 18556 18899 15506 10925 11763 15973 16197 16862 18251 15506 1265 1362 15506 16862 8043 1265 1362 9469 10925 16862 10926 3001 16522 1265 1362 16862 18251 12908 12025 18251 9469 1265 10925 12645 15973 16197 16862 18251 18899 9025 9469 1265 1325 1362 10721 10925 11763 12557 12645 12908 13455 13459 14557 15973 16197 16516 16862 18251 18556 18899 17088 1265 1362 9025 10925 18251 18556 1265 11763 12908 15506 18556 15506 8043 1362 8043 3180 1265 18251 18899 1265 16516 18251 18556 12908 15506 12908 15506 1362 6553 18251 18556 12908 15506 18556 10925 11763 15973 16862 18251 18556 16862 9469 1362 11763 12557 15973 16197 16862 18251 18556 18251 1265 1362 13459 18251 18556 16861 11763 12557 15973 16197 16862 18251 18556 1265 1362 11763 14557 15973 16862 15973 16862 18251 18556 18251 9469 16197 18251 15506 9469 1265 1362 12908 15506 18251 18556 1265 1362 10925 8043 18248 18251 18556 9025 11763 12645 18251 1265 11935 12645 16197 16868 18251 15973 16862 1265 1362 18251 15506 1265 1362 18251 12908 12908 15506 18251 1265 1325 1362 10925 18251 1265 9025 1362 11663 12557 15973 8043 18251 1265 1362 15973 18251 18556 10204 10721 12649 12908 15506 16862 8043 15973 18251 9312 1265 12908 9025 1265 1362 10925 11763 13455 15973 16197 18251 18556 15506 9025 10925 11395 11663 18251 1362 10721 6553 15973 18251 18899 5586 16197 15973 16197 18251 18556 18251 12908 15506 11763 16197 18251 1265 1362 11763 12557 15973 8043 15506 932 7847 11763 14786 18251 7190 8163 1265 1362 8043 8163 18251 18899 18248 11763 18251 18556 13459 9025 1265 1362 6553 15973 7316 16862 18251 18556 18899 16197 18251 16516 9469 10245 10925 11763 15973 16197 18251 18556 1265 1362 11763 6553 15973 16197 16862 8043 18251 18556 3166 9469 15973 18556 16522 15973 16197 18251 8043 1265 16197 1265 1362 8043 18251 1265 11763 5145 15973 16862 2021 10168 15506 18251 18556 9469 11881 16522 18251 9469 10925 11763 12557 6553 15973 16197 16862 1265 11763 6553 18251 18556 11764 18556 10168 8164 11431 1265 1362 10925 11763 15973 18251 18556 18899 9046 1265 15973 16197 16862 13455 15506 15973 16862 18251 18556 1265 1362 11763 15973 16197 18251 10168 10245 14670 15973 18251 18556 12908 1362 14670 16197 18556 12908 15506 1265 1325 10925 11763 11935 16000 18251 18556 18899 15300 18251 152 15506 8043 11881 12557 16862 18251 12908 15506 1362 15973 18251 18556 1362 15973 18251 18556 1265 1362 10925 11395 11763 12645 6553 15973 16197 16516 16862 18251 18556 10926 12908 18248 11765 11881 12557 6553 15973 18251 18556 15973 16862 18251 18556 15506 1362 6553 15973 18251 18556 16862 9469 14670 16862 8043 18251 18556 16516 9025 15973 16197 18251 18556 18899 1265 1362 11763 15973 18251 18556 7681 15506 1265 1362 11763 15973 16862 18556 11763 6629 12908 15506 1265 18251 18556 12678 1265 1362 12025 3180 16866 18229 8043 18229 15506 1265 1362 14670 6553 15973 16516 18251 18556 15973 12908 2330 10925 11763 12645 6553 15973 16197 18556 18899 12557 18899 11395 11881 18251 15506 12908 15506 11763 6553 15973 16862 8043 18251 12557 12645 15973 16197 18251 18248 9469 1265 1362 15973 16516 18251 18556 18899 9462 9993 11935 12645 13459 15973 18251 15506 1265 15592 12908 15973 18251 18556 15506 9469 13459 15973 16862 18556 1265 1362 16862 18251 12908 15506 9025 6553 16862 18251 12908 15506 1265 1362 12645 15973 16197 15506 18251 15506 10168 10245 10925 12908 6553 15973 8043 18251 18556 12908 1265 5145 12880 6629 16346 16197 18251 18251 9469 10168 10245 10925 12908 16197 18556 16983 12908 11468 10245 11763 15973 18251 9025 9469 1265 1325 1362 10721 10925 12557 12645 13455 13459 6553 15973 16197 16516 16862 18251 18556 18899 9046 18251 18556 1265 1362 11763 11881 6553 16862 18251 18556 10925 12557 16862 18251 18556 12908 15602 1265 1362 11763 6553 15973 16197 16862 18251 18556 15973 18251 15973 18251 18556 18251 18251 12908 15506 11763 15973 16197 11763 15973 1265 1362 15973 18556 1362 15973 18251 11763 12557 6553 15973 16197 16862 18251 18556 18899 14670 9025 10168 10245 11663 10245 11886 14910 16841 18251 17776 15506 12908 10245 12908 18556 9025 1362 10925 15973 16197 16862 18251 18556 10925 13455 16197 16394 18556 9469 1265 1362 10925 11763 18251 18251 9469 1265 1362 11410 17744 1362 10925 12557 13459 6553 15973 18251 18556 1265 1325 1362 1737 2021 12557 12908 13459 15506 6553 7316 16862 8043 18251 18556 18899 10245 10925 11763 14557 16197 16862 18251 18556 1265 11763 12645 15973 16197 16862 2025 9469 12645 15973 18556 18899 9469 1265 13455 13459 16197 10925 11881 12908 13455 14670 6553 15973 16862 18251 9462 9991 11763 15506 15973 16516 18251 12908 1265 1362 11395 11764 11767 15973 8043 18251 1265 2409 7347 16862 15973 18251 1265 1362 12557 18251 18556 11763 8043 12025 12908 15506 12908 15506 15506 11763 6553 8043 11279 11763 6553 15973 16197 16862 18251 18899 9059 14533 5414 18251 12908 15506 1809 6629 11279 11763 15973 16862 18251 11763 9469 1265 1362 18556 8344 1265 11881 18251 10925 3809 12908 15506 1265 1362 10925 15973 16862 18229 
33,3713 7770 
34,9279 9801 690 10608 15592 15774 18007 9285 18007 18884 1685 1183 9025 15592 19029 12416 15774 16350 689 12251 18007 9285 2022 15774 18007 9025 18007 12200 18007 9025 690 9285 10608 11229 12200 12541 19201 1685 13552 18007 9025 9285 10608 12200 15774 18007 18884 689 690 9285 9801 10608 12200 12209 15774 16350 17208 18007 15774 9285 12211 15774 18007 18884 3674 689 10132 690 15774 2817 15599 15771 281 12541 15506 9025 9025 690 9285 15592 18007 18884 689 9801 1183 12210 15592 15771 15774 16350 18884 9025 1183 18007 9025 13552 11229 11927 12541 19201 9025 1183 177 1428 16589 11776 12209 12211 12416 14493 15442 15592 17208 12210 18007 15774 
35,10905 10906 16157 11923 9431 9997 2606 10005 10491 1574 13267 13632 15906 16751 9427 17785 15906 11923 9427 9810 2620 15620 8797 11923 15442 11923 11923 
36,5996 11334 10372 11081 14047 16484 11326 13611 16076 11321 7387 16751 11331 5996 16076 7387 18520 1142 1547 1713 18520 7897 16346 1463 7387 11445 16329 11973 14798 15359 16076 18520 127 8158 10110 11142 11663 8158 8378 8392 1713 6091 7387 7897 18520 10372 18520 10310 11326 14900 17774 11331 11663 5996 11331 5996 9810 1547 1713 11331 16484 18520 11859 11331 5996 16484 11331 19007 6091 11331 6091 18520 7897 11331 11331 16076 1547 16484 1428 317 788 4764 723 1142 16076 
37,904 3713 7770 
38,18551 672 17978 18549 18549 
39,518 16685 8989 9553 18078 605 5805 13162 125 518 1338 18070 18759 18078 10564 12219 18070 18078 4023 18759 18070 18078 18078 1775 518 16685 16987 17285 518 13162 18070 518 18078 1856 125 8980 518 9810 1338 10564 1856 12541 12711 13162 17285 18070 518 1338 3577 13162 12711 18078 7061 6329 1775 12541 18078 12512 12541 13162 4023 14893 15651 6329 16273 17285 18078 518 10564 1775 12219 2995 6329 16987 18070 18078 18078 1856 16987 18089 12530 18078 18078 8980 518 10721 4023 18070 18089 10564 5727 18078 4023 605 9553 4023 6329 17894 18078 18078 9810 18078 6329 9810 13162 4023 18078 10564 12219 12711 17285 18078 18078 18078 4023 518 4023 6329 18078 10564 12541 6329 16273 16987 18078 10564 13162 18070 18825 18078 18078 10564 12541 13162 6329 16987 16589 1775 1856 13162 6329 18078 4023 18974 1019 12274 518 9916 16685 
40,11547 2099 380 9810 16298 7659 3763 7659 13333 
41,8996 15825 12877 3733 3733 7486 18759 9818 11047 12877 3733 15825 7486 6882 9818 7486 1428 2024 16589 6957 
42,2663 9790 1428 
43,100 5994 13195 13195 2620 1428 13195 
44,8994 12316 12316 12314 15120 12316 14851 13977 6336 7626 14422 1730 12316 5948 1730 18852 15561 16612 17830 18852 12314 18852 8994 8994 14422 6336 12314 18852 18852 9648 12146 12314 12316 12891 14422 17830 17059 18852 14422 18852 16983 9823 12314 18860 905 1428 9648 7626 
45,11282 11282 4276 4514 14111 8655 11287 4276 8655 11282 76 11282 11282 76 4514 1428 11943 14111 1145 1809 6629 
46,9810 19215 19215 19215 19215 5992 19215 19215 19215 19215 19215 19215 19064 19215 19215 19215 19215 1428 1145 19215 
